      DE/eV    lambda/nm    sigma/A^2        +/-error/A^2
      3.5647   3.4781E+02       0.00967516       0.00807928
      3.5697   3.4732E+02       0.01449123       0.01233530
      3.5747   3.4684E+02       0.02148727       0.01814081
      3.5797   3.4635E+02       0.03099230       0.02568922
      3.5847   3.4587E+02       0.04324867       0.03505182
      3.5897   3.4539E+02       0.05830807       0.04612562
      3.5947   3.4491E+02       0.07593809       0.05860848
      3.5997   3.4443E+02       0.09555814       0.07200870
      3.6047   3.4395E+02       0.11622344       0.08568855
      3.6097   3.4348E+02       0.13667034       0.09892871
      3.6147   3.4300E+02       0.15542579       0.11099327
      3.6197   3.4253E+02       0.17097091       0.12117786
      3.6247   3.4205E+02       0.18193516       0.12883814
      3.6297   3.4158E+02       0.18728861       0.13341362
      3.6347   3.4111E+02       0.18649673       0.13446832
      3.6397   3.4064E+02       0.17960678       0.13175797
      3.6447   3.4018E+02       0.16724689       0.12530895
      3.6497   3.3971E+02       0.15053616       0.11547489
      3.6547   3.3925E+02       0.13092242       0.10293674
      3.6597   3.3878E+02       0.10997918       0.08863111
      3.6647   3.3832E+02       0.08920128       0.07361954
      3.6697   3.3786E+02       0.06983663       0.05893250
      3.6747   3.3740E+02       0.05278115       0.04542881
      3.6797   3.3694E+02       0.03854796       0.03370290
      3.6847   3.3648E+02       0.02730510       0.02405487
      3.6897   3.3603E+02       0.01896363       0.01652224
      3.6947   3.3557E+02       0.01329127       0.01097182
      3.6997   3.3512E+02       0.01002717       0.00729708
      3.7047   3.3467E+02       0.00897793       0.00580964
      3.7097   3.3422E+02       0.01008176       0.00699765
      3.7147   3.3377E+02       0.01343313       0.01039682
      3.7197   3.3332E+02       0.01926545       0.01561644
      3.7247   3.3287E+02       0.02789270       0.02273319
      3.7297   3.3242E+02       0.03961550       0.03190055
      3.7347   3.3198E+02       0.05460273       0.04314880
      3.7397   3.3154E+02       0.07276681       0.05629959
      3.7447   3.3109E+02       0.09365690       0.07093277
      3.7497   3.3065E+02       0.11639701       0.08639677
      3.7547   3.3021E+02       0.13969291       0.10185853
      3.7597   3.2977E+02       0.16192141       0.11638130
      3.7647   3.2933E+02       0.18129878       0.12901262
      3.7697   3.2890E+02       0.19610653       0.13886771
      3.7747   3.2846E+02       0.20493608       0.14520216
      3.7797   3.2803E+02       0.20690496       0.14747769
      3.7847   3.2759E+02       0.20179968       0.14542507
      3.7897   3.2716E+02       0.19011360       0.13909950
      3.7947   3.2673E+02       0.17297069       0.12891121
      3.7997   3.2630E+02       0.15195054       0.11560943
      3.8047   3.2587E+02       0.12885173       0.10020686
      3.8097   3.2544E+02       0.10544173       0.08385128
      3.8147   3.2502E+02       0.08324091       0.06767045
      3.8197   3.2459E+02       0.06337630       0.05262643
      3.8247   3.2417E+02       0.04652061       0.03941216
      3.8297   3.2374E+02       0.03291222       0.02840821
      3.8347   3.2332E+02       0.02243529       0.01969980
      3.8397   3.2290E+02       0.01473140       0.01313842
      3.8447   3.2248E+02       0.00931488       0.00842520
      3.8497   3.2206E+02       0.00567052       0.00519386
      3.8547   3.2164E+02       0.00332262       0.00307760
      3.8597   3.2123E+02       0.00187352       0.00175267
      3.8647   3.2081E+02       0.00101642       0.00095922
      3.8697   3.2040E+02       0.00053046       0.00050448
      3.8747   3.1998E+02       0.00026628       0.00025495
      3.8797   3.1957E+02       0.00012854       0.00012380
      3.8847   3.1916E+02       0.00005967       0.00005777
      3.8897   3.1875E+02       0.00002663       0.00002590
      3.8947   3.1834E+02       0.00001143       0.00001116
      3.8997   3.1793E+02       0.00000471       0.00000462
      3.9047   3.1753E+02       0.00000187       0.00000184
      3.9097   3.1712E+02       0.00000071       0.00000070
      3.9147   3.1671E+02       0.00000026       0.00000026
      3.9197   3.1631E+02       0.00000009       0.00000009
      3.9247   3.1591E+02       0.00000003       0.00000003
      3.9297   3.1551E+02       0.00000001       0.00000001
      3.9347   3.1510E+02       0.00000000       0.00000000
