DE/eV lambda/nm sigma/A^2 +/-error/A^2
3.4520 3.5917E+02 0.06651257 0.03803625
3.4570 3.5865E+02 0.07318430 0.04836368
3.4620 3.5813E+02 0.08589411 0.06094202
3.4670 3.5761E+02 0.10314171 0.07458811
3.4720 3.5710E+02 0.12340869 0.08835959
3.4770 3.5658E+02 0.14521514 0.10136993
3.4820 3.5607E+02 0.16721612 0.11281204
3.4870 3.5556E+02 0.18832863 0.12204617
3.4920 3.5505E+02 0.20785882 0.12869212
3.4970 3.5454E+02 0.22558797 0.13270935
3.5020 3.5404E+02 0.24177933 0.13446338
3.5070 3.5353E+02 0.25708550 0.13476235
3.5120 3.5303E+02 0.27236322 0.13480339
3.5170 3.5253E+02 0.28843033 0.13593409
3.5220 3.5203E+02 0.30581949 0.13920292
3.5270 3.5153E+02 0.32458711 0.14489616
3.5320 3.5103E+02 0.34422269 0.15240862
3.5370 3.5053E+02 0.36367700 0.16056255
3.5420 3.5004E+02 0.38149694 0.16811458
3.5470 3.4955E+02 0.39603059 0.17413398
3.5520 3.4905E+02 0.40565582 0.17812924
3.5570 3.4856E+02 0.40899023 0.17996185
3.5620 3.4807E+02 0.40505541 0.17965105
3.5670 3.4759E+02 0.39338484 0.17718581
3.5720 3.4710E+02 0.37407610 0.17243595
3.5770 3.4662E+02 0.34779137 0.16519280
3.5820 3.4613E+02 0.31570807 0.15530124
3.5870 3.4565E+02 0.27941930 0.14280580
3.5920 3.4517E+02 0.24078687 0.12804181
3.5970 3.4469E+02 0.20175829 0.11163849
3.6020 3.4421E+02 0.16417010 0.09443935
3.6070 3.4373E+02 0.12956805 0.07737079
3.6120 3.4326E+02 0.09907463 0.06129902
3.6170 3.4278E+02 0.07332523 0.04691140
3.6220 3.4231E+02 0.05247880 0.03464565
3.6270 3.4184E+02 0.03629214 0.02467403
3.6320 3.4137E+02 0.02423490 0.01693517
3.6370 3.4090E+02 0.01561746 0.01119649
3.6420 3.4043E+02 0.00970722 0.00712754
3.6470 3.3996E+02 0.00581702 0.00436733
3.6520 3.3950E+02 0.00335938 0.00257506
3.6570 3.3903E+02 0.00186907 0.00146067
3.6620 3.3857E+02 0.00100155 0.00079694
3.6670 3.3811E+02 0.00051676 0.00041815
3.6720 3.3765E+02 0.00025667 0.00021096
3.6770 3.3719E+02 0.00012270 0.00010233
3.6820 3.3673E+02 0.00005645 0.00004772
3.6870 3.3627E+02 0.00002499 0.00002139
3.6920 3.3582E+02 0.00001064 0.00000922
3.6970 3.3536E+02 0.00000436 0.00000382
3.7020 3.3491E+02 0.00000172 0.00000152
3.7070 3.3446E+02 0.00000065 0.00000058
3.7120 3.3401E+02 0.00000024 0.00000021
3.7170 3.3356E+02 0.00000008 0.00000008
3.7220 3.3311E+02 0.00000003 0.00000003
3.7270 3.3266E+02 0.00000001 0.00000001
3.7320 3.3222E+02 0.00000000 0.00000000
